N	P	dl	d'	d	F	sigma	S	epsilon	psi	e	psi_	
1	0	0	6.925	4.23333	14.0752	0	0	0	0	0	0
2	2943	0.26	6.925	4.23333	14.0752	209.091	209.091	0.846722	0	0.613412	0
3	5493.6	0.5	6.925	4.23333	14.0752	390.303	390.303	1.62831	0	0.966341	0
4	6278.4	0.74	6.925	4.23333	14.0752	446.061	446.061	2.4099	0	1.22668	0
5	6278.4	0.92	6.925	4.23333	14.0752	446.061	446.061	2.99609	0	1.38532	0
6	6278.4	1.08	6.925	4.23333	14.0752	446.061	446.061	3.51715	0	1.50788	0
7	6474.6	1.28	6.925	4.23333	14.0752	460	460	4.16848	0	1.64258	0
8	6474.6	1.46	6.925	4.23333	14.0752	460	460	4.75467	0	1.75001	0
9	6474.6	1.66	6.925	4.23333	14.0752	460	460	5.40599	0	1.85723	0
10	6474.6	1.86	6.925	4.23333	14.0752	460	460	6.05732	0	1.95406	0
11	6474.6	2.06	6.25	3.8207	11.465	460	564.726	6.70864	18.5445	2.04234	0.205113
12	6474.6	2.26	5.88	3.59451	10.1478	460	638.033	7.35997	27.9033	2.12345	0.327163
13	6278.4	2.48	5.81	3.55172	9.90758	446.061	633.697	8.07642	29.6097	2.20568	0.351115
14	5886	2.68	5.71	3.49059	9.56946	418.182	615.082	8.72775	32.0119	2.27498	0.385838
15	5689.8	2.86	5.43	3.31942	8.65396	404.243	657.479	9.31394	38.5163	2.3335	0.486398
16	5493.6	3.06	5.01	3.06267	7.367	390.303	745.704	9.96526	47.6597	2.39473	0.647404
