dl P epsilon sigma
0 0 0 0
0.02 196.2 0.0651324 13.9394
0.1 981 0.325662 69.697
0.2 2158.2 0.651324 153.333
0.26 2943 0.846722 209.091
0.3 3335.4 0.976987 236.97
0.36 4120.2 1.17238 292.727
0.4 4512.6 1.30265 320.606
0.44 4905 1.43291 348.485
0.5 5493.6 1.62831 390.303
0.54 5689.8 1.75858 404.243
0.58 5886 1.88884 418.182
0.62 6082.2 2.01911 432.122
0.74 6278.4 2.4099 446.061
0.92 6278.4 2.99609 446.061
0.86 5689.8 2.80069 404.243
0.84 5297.4 2.73556 376.364
0.78 4512.6 2.54017 320.606
0.72 3727.8 2.34477 264.849
0.66 3139.2 2.14937 223.03
0.6 2550.6 1.95397 181.212
0.66 2550.6 2.14937 181.212
0.7 3139.2 2.27964 223.03
0.78 4120.2 2.54017 292.727
0.86 5101.2 2.80069 362.424
0.96 6278.4 3.12636 446.061
1.12 6278.4 3.64742 446.061
1.32 6474.6 4.29874 460
1.5 6474.6 4.88493 460
1.7 6474.6 5.53626 460
1.9 6474.6 6.18758 460
2.1 6474.6 6.83891 460
2.3 6474.6 7.49023 460
2.52 6278.4 8.20669 446.061
2.72 5886 8.85801 418.182
2.9 5689.8 9.4442 404.243
3.1 5493.6 10.0955 390.303
3.18 5493.6 10.3561 390.303
