N P Delta phi M tau gamma G
0 1.64247e+18 6.95251e-310 3.02283e-312 1.03475e+16 2.30094e+18 7.38133e-315 inf
0 0 19.4 0.0843478 0 0 0.000205966 0
1 0.4905 20.9 0.0908696 0.00309015 0.687144 0.000221891 3096.77
2 0.981 22.4 0.0973913 0.0061803 1.37429 0.000237816 5778.79
3 1.4715 23.9 0.103913 0.00927045 2.06143 0.000253741 8124.16
4 1.962 25.3 0.11 0.0123606 2.74858 0.000268605 10232.8
5 2.4525 26.9 0.116957 0.0154508 3.43572 0.000285592 12030.2
6 2.943 28.2 0.122609 0.0185409 4.12287 0.000299393 13770.7
7 3.4335 29.8 0.129565 0.0216311 4.81001 0.00031638 15203.3
8 2.943 28.5 0.123913 0.0185409 4.12287 0.000302578 13625.8
9 2.4525 27 0.117391 0.0154508 3.43572 0.000286653 11985.6
10 1.962 25.5 0.11087 0.0123606 2.74858 0.000270728 10152.5
11 1.4715 24 0.104348 0.00927045 2.06143 0.000254803 8090.31
12 0.981 22.5 0.0978261 0.0061803 1.37429 0.000238878 5753.11
13 0.4905 21 0.0913043 0.00309015 0.687144 0.000222952 3082.02
14 0 19.3 0.083913 0 0 0.000204904 0
